dpmk1-0,Guy11-0,dpmk1-1,Guy11-1,dpmk1-1.5,Guy11-1.5,dpmk1-2,Guy11-2,dpmk1-4,Guy11-4,dpmk1-6,Guy11-6,id
1,0.8429706164177576,0.03458528508624635,0.09466940877783456,0.019797786929608718,0.0503553569245889,0.019307339590966224,0.04476182178344005,0.011762689692070314,0.031016281774696192,0,0.0021650072620602832,MGG_00513T0 [13-32]-2xPhospho [S3(86.1); S9(75.2)]
1,0.8429706164177576,0.03458528508624635,0.09466940877783456,0.019797786929608718,0.0503553569245889,0.019307339590966224,0.04476182178344005,0.011762689692070314,0.031016281774696192,0,0.0021650072620602832,MGG_00513T0 [13-32]-2xPhospho [T4(84.1); S9(93.8)]
1,0.8429706164177576,0.03458528508624635,0.09466940877783456,0.019797786929608718,0.0503553569245889,0.019307339590966224,0.04476182178344005,0.011762689692070314,0.031016281774696192,0,0.0021650072620602832,MGG_00513T0 [13-32]-2xPhospho [S3(89.6); T4(75.8)]
1,0.030697934100113997,0,0,0,0.004390353767665103,0,0,0.0025134092311347007,0.0028339860329603937,0,8.484151960515062e-4,MGG_00513T0 [11-32]-3xPhospho [S3(97.9); S/T]
1,0.6358335265119602,0.4070976988284035,0.6889492505964225,0.3476019845288789,0.45224473105932017,0.23614568830465107,0.631009060007325,0.019396161117351454,0.05937959467289668,0.007850656985964426,0,MGG_00432T0 [1-23]-1xMet-loss [N-Term];2xPhospho [T22(81.9); S/T]
1,0.6525969642034355,0.4178306291066948,0.6909443513331058,0.34847382963499235,0.45421528104136344,0.22297141163262238,0.6342558889622828,0.01990753134994711,0.060945108433872346,0.008057635689876613,0,MGG_00432T0 [1-23]-1xMet-loss [N-Term];2xPhospho [S10(99.9); S18(97.5)]
0.3514506830488111,1,0.03677327831985625,0.125820749066339,0.0383519737800795,0.08465368373125558,0.048295517164936554,0.061353101377567325,0.008502836991195173,0.017523835539915603,0.005683165721746193,0,MGG_00513T0 [13-32]-1xPhospho [S/T]
1,0.7921609804547572,0.035974792703078635,0.09399313387130381,0.017979755356652152,0.046945861937997456,0.020473790459814557,0.04535969027375901,0.01145897496138387,0.03002547027077355,0,0.0033297859529059885,MGG_00513T0 [13-32]-2xPhospho [S3(99.8); S5(75.7)]
0.3560743748315359,1,0.03439728574666197,0.12641798567271026,0.03155355357263457,0.08227942338946338,0.045240401362953785,0.05833912850215649,0.009985414848829205,0.01856668433034105,0.002072494646384119,0,MGG_00513T0 [13-32]-1xPhospho [S3(95.8)]
0.44252688182702143,1,0.04854334560437006,0.12442484055460093,0.02542012219567022,0.10150028594802346,0.04989370479098491,0.08329340862168998,0.01287171689678412,0.034284606768920936,0.0103131935957056,0,MGG_00513T0 [11-32]-1xPhospho [S/T]
0.35877812326133696,1,0.03267034671379182,0.12742831614150957,0.028288695164666863,0.08326293677528178,0.04077690595672411,0.05924564043659413,0.011540817724011861,0.02049627177766402,0.002130818227474365,0,MGG_00513T0 [13-32]-1xPhospho [S9(75.1)]
