ID,geneID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue
GO:0050790,MGG_06905/MGG_01472/MGG_06158/MGG_04186/MGG_06390/MGG_00928/MGG_12644/MGG_11784/MGG_11178/MGG_01258/MGG_09531/MGG_09303/MGG_12336/MGG_06504/MGG_03275/MGG_03064/MGG_04377/MGG_12130/MGG_07335/MGG_01695/MGG_04954/MGG_06476,regulation of catalytic activity,22/368,73/10114,5.521416300706663e-15,1.4466110707851457e-12,1.1624034317277185e-12
GO:0007165,MGG_12377/MGG_05284/MGG_04186/MGG_06390/MGG_09499/MGG_07517/MGG_05332/MGG_06930/MGG_11425/MGG_09531/MGG_00345/MGG_09303/MGG_04377/MGG_12709/MGG_12130/MGG_09947/MGG_08735/MGG_01150/MGG_08689,signal transduction,19/368,78/10114,2.6963274820171006e-11,3.5321890014424016e-9,2.8382394547548428e-9
GO:0005085,MGG_06905/MGG_00928/MGG_12644/MGG_11784/MGG_11178/MGG_12336/MGG_03275/MGG_03064/MGG_01695/MGG_06476,guanyl-nucleotide exchange factor activity,10/368,25/10114,7.227729330789546e-9,6.312216948889537e-7,5.072090758448805e-7
GO:0004674,MGG_01279/MGG_05376/MGG_00800/MGG_06599/MGG_04100/MGG_09565/MGG_01795/MGG_00345/MGG_00883/MGG_06421/MGG_03937/MGG_14773/MGG_06393/MGG_10596/MGG_02757/MGG_08689/MGG_06399,protein serine/threonine kinase activity,17/368,104/10114,1.8050319497495888e-7,1.1822959270859806e-5,9.500168156576783e-6
GO:0005622,MGG_05238/MGG_03252/MGG_03265/MGG_06905/MGG_13013/MGG_12377/MGG_05284/MGG_04186/MGG_06390/MGG_00928/MGG_12644/MGG_03253/MGG_12972/MGG_11784/MGG_02493/MGG_03204/MGG_11178/MGG_05332/MGG_11425/MGG_12926/MGG_09531/MGG_00345/MGG_03319/MGG_09303/MGG_12336/MGG_03064/MGG_10162/MGG_01586/MGG_04377/MGG_14931/MGG_06325/MGG_04467/MGG_01695/MGG_08689/MGG_06883/MGG_03372,intracellular anatomical structure,36/368,424/10114,1.746203027815675e-6,6.693787716475252e-5,5.3786964375052244e-5
GO:0006468,MGG_01279/MGG_05376/MGG_00800/MGG_06599/MGG_04100/MGG_09565/MGG_01795/MGG_00345/MGG_00883/MGG_06421/MGG_03937/MGG_08746/MGG_14773/MGG_06393/MGG_10596/MGG_02757/MGG_08689/MGG_06399,protein phosphorylation,18/368,135/10114,1.7744189945012516e-6,6.693787716475252e-5,5.3786964375052244e-5
GO:0005096,MGG_01472/MGG_04186/MGG_06390/MGG_11425/MGG_09531/MGG_09303/MGG_04377/MGG_04954,GTPase activator activity,8/368,25/10114,1.788416565470487e-6,6.693787716475252e-5,5.3786964375052244e-5
GO:0004672,MGG_01279/MGG_05376/MGG_00800/MGG_06599/MGG_04100/MGG_09565/MGG_01795/MGG_00345/MGG_00883/MGG_06421/MGG_08746/MGG_14773/MGG_06393/MGG_10596/MGG_02757/MGG_08689/MGG_06399,protein kinase activity,17/368,131/10114,5.010983025924877e-6,1.641096940990397e-4,1.3186797436644414e-4
GO:0008289,MGG_00853/MGG_08135/MGG_17877/MGG_11490/MGG_04616/MGG_09947/MGG_12832,lipid binding,7/368,22/10114,8.47386194544547e-6,2.466835366340792e-4,1.9821899287591745e-4
GO:0008047,MGG_04186/MGG_06390/MGG_09531/MGG_09303/MGG_04377,enzyme activator activity,5/368,11/10114,2.3924487373195045e-5,6.268215691777101e-4,5.036734183830536e-4
GO:0030479,MGG_06649/MGG_02949/MGG_11243/MGG_04616/MGG_12839,actin cortical patch,5/368,12/10114,3.979210508898877e-5,9.477755939377324e-4,7.61571389262943e-4
GO:0016772,MGG_03007/MGG_01279/MGG_05376/MGG_00800/MGG_06599/MGG_04100/MGG_09565/MGG_11537/MGG_01795/MGG_00345/MGG_00883/MGG_06421/MGG_08746/MGG_14773/MGG_10596/MGG_02757/MGG_08689/MGG_06399,"transferase activity, transferring phosphorus-containing groups",18/368,173/10114,5.702934573750599e-5,0.0012451407152688808,0.0010005148375001052
GO:0010008,MGG_06649/MGG_07037/MGG_12839/MGG_03139/MGG_01331/MGG_12832,endosome membrane,6/368,21/10114,7.597346837393843e-5,0.0015311575933824515,0.0012303395688087197
GO:0016301,MGG_03007/MGG_01279/MGG_05376/MGG_00800/MGG_06599/MGG_04100/MGG_09565/MGG_01795/MGG_00345/MGG_00883/MGG_06421/MGG_03937/MGG_08746/MGG_14773/MGG_06393/MGG_10596/MGG_01702/MGG_02757/MGG_08689/MGG_06399,kinase activity,20/368,216/10114,1.164415083731793e-4,0.00217911965669807,0.001751000125912471
GO:0005886,MGG_07200/MGG_06649/MGG_13013/MGG_06440/MGG_09499/MGG_05211/MGG_01047/MGG_13014/MGG_12839/MGG_13192,plasma membrane,10/368,70/10114,2.0345572294381387e-4,0.003553693294085282,0.0028555189185096685
GO:0016310,MGG_03007/MGG_01279/MGG_05376/MGG_00800/MGG_06599/MGG_04100/MGG_09565/MGG_01795/MGG_00345/MGG_00883/MGG_06421/MGG_03937/MGG_08746/MGG_14773/MGG_06393/MGG_10596/MGG_01702/MGG_02757/MGG_08689/MGG_06399,phosphorylation,20/368,230/10114,2.7164031541387484e-4,0.00425767811880565,0.0034211957563725598
GO:0005768,MGG_06649/MGG_07037/MGG_12839/MGG_03139/MGG_01331/MGG_12832,endosome,6/368,26/10114,2.7626155732708414e-4,0.00425767811880565,0.0034211957563725598
GO:0003723,MGG_05264/MGG_01746/MGG_08170/MGG_06318/MGG_06396/MGG_04405/MGG_10180/MGG_08693/MGG_06496/MGG_12972/MGG_06334/MGG_12370/MGG_09170/MGG_01781/MGG_00444/MGG_00982/MGG_00514/MGG_07175/MGG_12574/MGG_03372/MGG_06410,RNA binding,21/368,251/10114,3.2554505124823515e-4,0.004738489079279867,0.0038075444590436867
GO:0006897,MGG_06649/MGG_05315/MGG_02949/MGG_04616/MGG_12839,endocytosis,5/368,19/10114,4.731412607996048e-4,0.006524368964710339,0.005242562446533017
GO:0006355,MGG_02962/MGG_06462/MGG_13013/MGG_10538/MGG_17841/MGG_00692/MGG_12865/MGG_12377/MGG_17345/MGG_08199/MGG_06258/MGG_08093/MGG_14558/MGG_06043/MGG_01661/MGG_02493/MGG_07517/MGG_06716/MGG_01258/MGG_00345/MGG_08212/MGG_03288/MGG_12164/MGG_08735/MGG_05857,"regulation of transcription, DNA-templated",25/368,334/10114,4.986694262999898e-4,0.006532569484529865,0.005249151855789366
GO:0035556,MGG_12377/MGG_05332/MGG_09531/MGG_00345/MGG_03064/MGG_08689,intracellular signal transduction,6/368,30/10114,6.300126627322426e-4,0.007860157982659407,0.006315916418368348
GO:0006629,MGG_06719/MGG_07037/MGG_06893/MGG_00503/MGG_04346/MGG_05332/MGG_07613/MGG_06143/MGG_02465/MGG_04972/MGG_01985,lipid metabolic process,11/368,97/10114,7.662032565870042e-4,0.00912478423753614,0.007332088579779945
GO:0003779,MGG_06649/MGG_13013/MGG_05315/MGG_02949/MGG_11243/MGG_12839,actin binding,6/368,33/10114,0.001071819439215651,0.012209421438021765,0.00981070424911351
GO:0050794,MGG_05284/MGG_04186/MGG_08212/MGG_04377,regulation of cellular process,4/368,15/10114,0.0017108079666794582,0.018676320302917417,0.015007087427012794
GO:0106310,MGG_01279/MGG_09565/MGG_01795/MGG_06393/MGG_08689,protein serine kinase activity,5/368,26/10114,0.0021705396254449493,0.02274725527466307,0.018278228424799575
GO:0000160,MGG_12377/MGG_07517/MGG_00345/MGG_08735,phosphorelay signal transduction system,4/368,17/10114,0.0028158850252745487,0.027324513948960436,0.021956218520659248
GO:0005198,MGG_06183/MGG_11425/MGG_06504/MGG_06876,structural molecule activity,4/368,17/10114,0.0028158850252745487,0.027324513948960436,0.021956218520659248
GO:0005509,MGG_06649/MGG_07037/MGG_03714/MGG_09471/MGG_03937/MGG_12839/MGG_04549,calcium ion binding,7/368,55/10114,0.0035923782662990113,0.033614396634655035,0.027010362904503846
GO:0003677,MGG_09293/MGG_17841/MGG_00692/MGG_12865/MGG_09903/MGG_08199/MGG_06258/MGG_14558/MGG_01661/MGG_04589/MGG_02493/MGG_03204/MGG_06350/MGG_03319/MGG_01659/MGG_06397/MGG_08212/MGG_03288/MGG_04421/MGG_04410/MGG_00136/MGG_11130/MGG_06162/MGG_12130/MGG_13532/MGG_10150,DNA binding,26/368,410/10114,0.00413078022482556,0.036592773527866856,0.029403594638703786
GO:0003682,MGG_04363/MGG_09903/MGG_04421/MGG_13532,chromatin binding,4/368,19/10114,0.004329679310549132,0.036592773527866856,0.029403594638703786
GO:0003774,MGG_02425/MGG_13013/MGG_01757/MGG_13014,motor activity,4/368,19/10114,0.004329679310549132,0.036592773527866856,0.029403594638703786
GO:0030036,MGG_05315/MGG_02949/MGG_01047,actin cytoskeleton organization,3/368,10/10114,0.004737501520574827,0.03761289086032135,0.030223295187080244
